token,petition_date_price
1INCH,$0.5599
3CRV,$1.0246
AAVE,$67.12
ACH,$0.01051
ACRE,$0.005068
ACT,$0.001616
ADA,$0.3625
ADAI,$1.0016
AERGO,$0.112
AGLD,$0.2632
AKRO,$0.002792
ALEPH,$0.06104
ALGO,$0.3125
ALI,$0.008205
ALICE,$1.2547
ALM,$0.00626
ALPHA,$0.09649
AMF,$0.007795
AMP,$0.003975
AMPL,$0.9955
ANKR,$0.02276
ANKRETH,$1287.83
ANY,$3.7518
APE,$3.3898
API3,$1.6403
APPLE,$0.0617
APRICOT,$0.001929
ARIX,$0.1727
ARMOR,$0.005128
ASSET,$0.0000002455
ATLAS,$0.003124
AUDIO,$0.1648
AURORY,$0.5705
AVAX,$14.97
AXS,$7.2123
AZUKI,$0.006129
BAL,$5.3838
BAND,$2.4356
BAO,$0.0001044
BAT,$0.2654
BAYC,$0.07708
BBANK,$0.009842
BBTC,$0.000000001687
BCH,$105.93
BELT,$0.2999
BEND,$0.003891
BETH,$1251.18
BIT,$0.3246
BNB,$294.91
BOBA,$0.2252
BOND,$3.6451
BOO,$1.2113
BOOFI,$0.009527
BOSON,$0.2151
BOX,$0.0002062
BNT, $0.000000743243243
BPT,$0.2737
BTC,$17378.52
BTCB,$17328.75
BTCMT,$0.4196
BTSG,$0.01267
BULL,$0.00000005513
BULLSHIT,$0.00000005513
BUSD,$1.0006
BVOL,$104.84
C98,$0.2268
CAKE,$4.1598
CANTO,$0.1879
CASH,$0.0004441
CDAI,$0.02213
CDT,$0.03909
CEL,$0.6791
CERE,$0.005162
CHART,$0.0009337
CHICKEN,$13.49
CHO,$0.8985
CHR,$0.1175
CHZ,$0.2293
CLV,$0.06357
CMFI,$0.01537
CND,$0.0005535
CNR,$0.0003092
COIN,$58.79
COMP,$39.59
CORGI,$0.00000008153
COTI,$0.08382
COW,$0.05732
CPOOL,$0.04631
CQT,$0.08789
CRE,$0.003066
CREAM,$7.7488
CREDIT,$0.000024
CRI,$0.5606
CRO,$0.09237
CRV,$0.6806
CRYOWAR,$0.0192
CUSDC,$0.02157
CVX,$4.1506
CWAR,$0.0192
DAI,$1.0016
DECIMATED,$0.01
DFD,$0.01692
DFL,$0.001142
DGB,$0.007397
DINO,$0.00175
DMG,$0.00919
DODO,$0.1211
DOGE,$0.0884
DOGE-1,$0.000000008352
DOGEKING,$0.000000007974
DOJO,$0.000000001092
DOT,$5.8232
DRIFT,$0.00006642
DSG,$0.0009118
DUCK,$0.02296
DUSD,$0.9966
DYDX,$1.9258
DYP,$0.1455
ECD,$0.002494
ECO,$0.000009692
EDEN,$0.0814
EFI,$0.09776
ELF,$0.114
ELT,$0.004131
ELU,$0.004436
ENG,$0.007275
ENJ,$0.362
ENS,$13.04
EOS,$0.9403
EPX,$0.0003338
ERN,$2.0372
ERSDL,$0.004004
ETH,$1284.09
ETHW,$4.4552
EUL,$6.3574
EUR, $1.0192
EURT,$1.0224
FET,$0.06794
FIDA,$0.2418
FIL,$4.5431
FORTH,$3.0413
FOX,$0.03399
FRAX,$0.9888
FREE,$0.0000002246
FRONT,$0.1794
FS,$0.001109
FTM,$0.2034
FTT,$3.4863
FUSE,$0.06874
FXS,$5.2256
GAL,$1.6213
GALA,$0.03242
GBP, $1.1696
GENE,$1.7577
GFI,$0.8189
GIV,$0.02458
GKF,$0.000000000147
GLM,$0.2101
GMT,$0.4114
GMX,$34.31
GODS,$0.2514
GOG,$0.1064
GOHM,$2450.94
GRT,$0.06805
GST,$0.02828
GUSD,$1.0062
GXT,$0.0015
HBAR,$0.04906
HBTC,$17401.67
HCC,$0.000004992
HEX,$0.03381
HGET,$0.4038
HIGH,$1.0679
HOT,$0.001712
HSF,$0.842
HT,$5.9485
HXRO,$0.06292
ICE,$0.005278
ILV,$48.77
IMX,$0.4732
INFINITY,$1.3747
INJ,$1.776
INS,$0.00002336
INU,$0.00000000071
IP3,$0.3199
IRON,$0.9994
JET,$0.00437
JOE,$0.1666
JSOL,$18.76
JST, $0.02415094
KAVA,$1.017
KEEP,$0.08587
KIN,$0.000009984
KITTY,$0.000003035
KLAY,$0.1879
KNC,$0.6313
KP3R,$79.5
LAND,$0.0001897
LDO,$1.217
LEVE,$0.002774
LIEN,$0.4967
LIME,$0.005158
LINA,$0.006505
LINK,$7.1405
LIO,$8.1253
LIT,$0.7903
LITH,$0.0008174
LITHO,$0.001566
LKR,$0.00948
LOOKS,$0.1583
LOVE,$0.0007144
LOWB,$0.00001477
LPT,$7.8039
LQTY,$0.6017
LRC,$0.2729
LTC,$63.05
LUA,$0.007581
LUNA,$1.8231
LUNC,$0.0001998
LYXE,$6.3049
MAGIC,$0.2874
MANA,$0.5195
MAPS,$0.1063
MARS4,$0.0008214
MATH,$0.113
MATIC,$1.0723
MATTER,$0.06636
MC,$0.4905
MCB,$4.4196
MDX,$0.08048
MEAN,$0.04627
MEDIA,$4.8636
MER,$0.008324
METIS,$20.66
